Date,Open,High,Low,Close,Adj Close,Volume
2019-07-29,789.5,796.9500122070312,786.2000122070312,791.4500122070312,701.9667358398438,6244316
2019-07-30,791.9000244140625,797.7999877929688,788.5499877929688,792.7000122070312,703.075439453125,8673253
2019-07-31,790.8499755859375,799.7999877929688,781.5999755859375,793.6500244140625,703.91796875,7350584
2019-08-01,786.4500122070312,788.4000244140625,764.4000244140625,768.8499755859375,681.9219970703125,10066407
2019-08-02,765.0499877929688,779.9000244140625,762.25,775.5999755859375,687.9087524414062,10838336
2019-08-05,772.5999755859375,785.9000244140625,768.6500244140625,776.7000122070312,688.8844604492188,9976238
2019-08-06,778.7999877929688,783.7000122070312,769.7999877929688,774.4500122070312,686.8888549804688,9331718
2019-08-07,778.9000244140625,783.4500122070312,772.3499755859375,776.0999755859375,688.352294921875,5130457
2019-08-08,782.7000122070312,792.75,781.25,788.75,699.5720825195312,8009009
2019-08-09,792.0,796.75,784.7999877929688,789.8499755859375,700.5476684570312,4362520
2019-08-13,784.1500244140625,786.0,760.1500244140625,764.75,678.2855834960938,7517099
2019-08-14,775.0999755859375,778.25,768.0,774.7999877929688,687.1993408203125,5940968
2019-08-16,780.0,780.0499877929688,762.5,774.5499877929688,686.9775390625,5128088
2019-08-19,775.5999755859375,783.0,773.3499755859375,777.6500244140625,689.72705078125,3881451
2019-08-20,785.2000122070312,798.0,783.8499755859375,792.75,703.1197509765625,8435344
2019-08-21,793.0,803.75,793.0,799.4500122070312,709.0623168945312,5926896
2019-08-22,799.9000244140625,801.2999877929688,792.3499755859375,795.7000122070312,705.7362670898438,5222488
2019-08-23,796.4500122070312,809.9500122070312,795.7999877929688,802.2000122070312,711.5012817382812,6895015
2019-08-26,795.9000244140625,806.7999877929688,786.9000244140625,802.5499877929688,711.8117065429688,5412074
2019-08-27,791.0,794.9500122070312,781.0999755859375,784.6500244140625,695.9356079101562,16061642
2019-08-28,787.4000244140625,805.0,786.2999877929688,802.5,711.7674560546875,5881134
2019-08-29,795.5,809.7000122070312,795.5,806.9500122070312,715.7142944335938,7830413
2019-08-30,810.0,817.3499755859375,802.0,814.9000244140625,722.7655029296875,8174186
2019-09-03,815.0,822.4000244140625,812.0499877929688,814.25,722.1889038085938,5647088
2019-09-04,810.75,822.4500122070312,810.25,821.2999877929688,728.4417724609375,6199015
2019-09-05,830.0999755859375,837.5,826.6500244140625,834.0499877929688,739.7503662109375,7926895
2019-09-06,843.2999877929688,847.0,835.0499877929688,840.1500244140625,745.1607666015625,6106841
2019-09-09,836.7999877929688,840.2999877929688,827.5499877929688,829.0999755859375,735.3598022460938,4377870
2019-09-11,822.2999877929688,828.5499877929688,814.1500244140625,820.0999755859375,727.3775024414062,7981036
2019-09-12,816.4000244140625,819.8499755859375,810.8499755859375,816.4000244140625,724.095947265625,4400017
2019-09-13,818.0999755859375,831.0499877929688,817.5,829.2999877929688,735.537353515625,4832021
2019-09-16,832.0499877929688,837.9500122070312,820.5499877929688,827.7000122070312,734.1183471679688,4846496
2019-09-17,831.5,835.0,820.5499877929688,831.25,737.2669677734375,5540901
2019-09-18,829.9000244140625,832.9500122070312,824.0,829.8499755859375,736.0250854492188,3199389
2019-09-19,824.8499755859375,827.0,815.2000122070312,820.7000122070312,727.9097290039062,6601607
2019-09-20,822.9000244140625,835.0,802.0,805.0,713.98486328125,22462366
2019-09-23,806.9000244140625,806.9000244140625,741.9000244140625,764.3499755859375,677.9306640625,17279260
2019-09-24,765.0,798.6500244140625,765.0,794.0499877929688,704.2728271484375,13717998
2019-09-25,787.7000122070312,801.0,781.6500244140625,792.6500244140625,703.0310668945312,9313576
2019-09-26,787.75,797.0,778.0999755859375,782.5499877929688,694.072998046875,18442824
2019-09-27,787.0499877929688,794.25,780.0999755859375,782.2000122070312,693.7626953125,5087642
2019-09-30,785.0999755859375,808.0,784.1500244140625,805.6500244140625,714.5614013671875,8178091
2019-10-01,807.0,807.5499877929688,791.5499877929688,793.5499877929688,703.8294067382812,5881438
2019-10-03,792.5499877929688,797.8499755859375,784.1500244140625,785.5999755859375,696.7781982421875,5497672
2019-10-04,790.0,797.5999755859375,787.0499877929688,793.4500122070312,703.7406616210938,8201713
2019-10-07,794.8499755859375,802.0,786.0999755859375,789.5499877929688,700.2815551757812,3679845
2019-10-09,795.4500122070312,795.9000244140625,778.7999877929688,783.6500244140625,695.0487060546875,6335025
2019-10-10,785.4000244140625,794.7000122070312,776.5999755859375,783.0499877929688,694.5164794921875,10402917
2019-10-11,781.5,823.7999877929688,776.5999755859375,814.7999877929688,722.6768188476562,20636344
2019-10-14,786.75,797.0,780.0,786.0999755859375,697.2215576171875,15150858
2019-10-15,773.0999755859375,775.9500122070312,765.0,768.2999877929688,681.4342041015625,13762133
2019-10-16,765.25,775.9500122070312,761.5499877929688,771.4500122070312,684.2280883789062,10767032
2019-10-17,767.0,770.5499877929688,765.0999755859375,769.5,682.49853515625,9860495
2019-10-18,763.7999877929688,773.7999877929688,760.0,767.8499755859375,681.0350952148438,10037200
2019-10-22,691.0999755859375,691.0999755859375,638.3499755859375,643.5499877929688,576.7981567382812,90152532
2019-10-23,630.0,656.6500244140625,615.0999755859375,650.5999755859375,590.456787109375,60516887
2019-10-24,650.0,653.2000122070312,632.0,635.3499755859375,576.6166381835938,25666433
2019-10-25,647.0,652.5,636.0,637.4500122070312,578.5225219726562,16549337
2019-10-27,651.0999755859375,652.5,645.5499877929688,648.8499755859375,588.86865234375,2945281
2019-10-29,651.0,653.75,647.0,650.6500244140625,590.5022583007812,16709764
